Date,User ID,Item ID_tourist,Item_name,Item_city,Review Text,Travel History,Item Review,Review,Ratings_combined,Item_category_combined,Province,City,Sentiment_Score,Month,YearMonth,User_Segment,Preferred_Province,activity_level,activity_segment,City_Sentiment_Score,Avg_City_Sentiment_Score
10/5/2023,USER-A172,A-26,12 Springs of Prophet Moses (A.S.) - Tabuk Province,12 Springs of Prophet Moses (A.S.),12 springs of prophet moosa surrounded with palm trees nice  calm place,Jamaraat Bridge,no review provided,no review provided,4.8,Natural Landscapes,Tabuk Province,Tabuk,0.6249,2023-05,2023-05,High Activity,Tabuk Province,6,Medium,0.6249,0.51865
24/6/2024,USER-A297,A-26,12 Springs of Prophet Moses (A.S.) - Tabuk Province,12 Springs of Prophet Moses (A.S.),a historic and beautiful place with palms and water the well of moses ,Masjid Bilal,no review provided,no review provided,4.8,Natural Landscapes,Tabuk Province,Tabuk,0.7184,2024-06,2024-06,Low Activity,Tabuk Province,2,Low,0.7184,0.51865
27/4/2024,USER-A298,A-26,12 Springs of Prophet Moses (A.S.) - Tabuk Province,12 Springs of Prophet Moses (A.S.),"on the road from al bada to magna is moses well its accurately located on google maps isnt signposted but is easy to spot referred to in the book of exodus this site is supposedly where moses with a divine touch brought forth water from a rock to quench the thirst of his followers during their desert sojourn

surrounded by palm trees and set against the rugged desert terrain and views of the gulf of aqaba the well is a tranquil oasis that probably hasnt changed much since biblical times except the addition of some concrete benches

well worth a quick stop",Masjid Bilal,no review provided,no review provided,4.8,Natural Landscapes,Tabuk Province,Tabuk,0.9377,2024-04,2024-04,Low Activity,Tabuk Province,3,Low,0.9377,0.51865
24/1/2024,USER-A299,A-26,12 Springs of Prophet Moses (A.S.) - Tabuk Province,12 Springs of Prophet Moses (A.S.),one of the historical place you should if you are in saudi 12 springs of moses  but the area was crowded as we went and i hope there will some renovation done to make it more cleaner and attractive for tourist coming from other countries,Masjid Bilal,no review provided,no review provided,4.8,Natural Landscapes,Tabuk Province,Tabuk,0.8906,2024-01,2024-01,High Activity,Al Madinah Al Munawwarah Province,7,Medium,0.8906,0.51865
21/12/2023,USER-A300,A-26,12 Springs of Prophet Moses (A.S.) - Tabuk Province,12 Springs of Prophet Moses (A.S.),its amazing to see the sweet water bubbling from out of the earth  the area is rather stunning with the cool wind blowing through the palm trees,Masjid Bilal,no review provided,no review provided,4.8,Natural Landscapes,Tabuk Province,Tabuk,0.8934,2023-12,2023-12,Low Activity,Tabuk Province,2,Low,0.8934,0.51865
6/3/2023,USER-A301,A-26,12 Springs of Prophet Moses (A.S.) - Tabuk Province,12 Springs of Prophet Moses (A.S.),كيف احصل على تصريح لدخول,Jamaraat Bridge,no review provided,no review provided,4.8,Natural Landscapes,Tabuk Province,Tabuk,0.0,2023-03,2023-03,Low Activity,Tabuk Province,3,Low,0.0,0.51865
6/3/2023,USER-A301,A-26,12 Springs of Prophet Moses (A.S.) - Tabuk Province,12 Springs of Prophet Moses (A.S.),كيف احصل على تصريح لدخول,Miqat Masjid,no review provided,no review provided,4.8,Natural Landscapes,Tabuk Province,Tabuk,0.0,2023-03,2023-03,Low Activity,Tabuk Province,3,Low,0.0,0.51865
6/3/2023,USER-A301,A-26,12 Springs of Prophet Moses (A.S.) - Tabuk Province,12 Springs of Prophet Moses (A.S.),كيف احصل على تصريح لدخول,Miqat Masjid,no review provided,no review provided,4.8,Natural Landscapes,Tabuk Province,Tabuk,0.0,2023-03,2023-03,Low Activity,Tabuk Province,3,Low,0.0,0.51865
25/4/2023,USER-A302,A-26,12 Springs of Prophet Moses (A.S.) - Tabuk Province,12 Springs of Prophet Moses (A.S.),12 springs of prophet moses as is a historical landmark located in the valley of maqna saudi arabia the sprouting of water and its flow against gravity in the middle of the desert appears to be nothing less than magical my family and i went and it was super,Jamaraat Bridge,no review provided,no review provided,4.8,Natural Landscapes,Tabuk Province,Tabuk,0.6369,2023-04,2023-04,Low Activity,Tabuk Province,1,Low,0.6369,0.51865
23/4/2023,USER-A303,A-26,12 Springs of Prophet Moses (A.S.) - Tabuk Province,12 Springs of Prophet Moses (A.S.),nice place for birdwatching lots of  resident yellow vented bulbuls black scrub robin and blackstarts the whole vilage is under development probably soon it will be cleaned and prepared for visitors,Jamaraat Bridge,no review provided,no review provided,4.8,Natural Landscapes,Tabuk Province,Tabuk,0.5719,2023-04,2023-04,Low Activity,Tabuk Province,1,Low,0.5719,0.51865
12/2/2023,USER-A304,A-26,12 Springs of Prophet Moses (A.S.) - Tabuk Province,12 Springs of Prophet Moses (A.S.),"small place but highly instagramable

visitors will need to do some light hiking to cover the whole site

as of time of this posting the public toilets are under construction",Jamaraat Bridge,no review provided,no review provided,4.8,Natural Landscapes,Tabuk Province,Tabuk,0.0,2023-02,2023-02,Low Activity,Tabuk Province,1,Low,0.0,0.51865
