Item ID_tourist,Item_category_combined,Province,City,City_Sentiment_Score,Avg_City_Sentiment_Score,Popularity
A-1,1,Al Madinah Al Munawwarah Province,Al Ula,0.3505816285599679,0.0,0.17529081427998394
A-10,5,Jazan Province,Jazan,0.8716405936622543,0.852164168118237,0.8619023808902457
A-100,5,Makkah Al Mukarramah Province,Taif,0.8714400320898517,0.8518361603552971,0.8616380962225744
A-101,1,Al Madinah Al Munawwarah Province,Madinah,0.8094832196817756,0.7505090953137282,0.7799961574977519
A-102,1,Al Madinah Al Munawwarah Province,Madinah,0.8707581227436824,0.8507209339613009,0.8607395283524917
A-103,4,Al Madinah Al Munawwarah Province,Madinah,0.8702115924588849,0.8498271128072893,0.860019352633087
A-104,4,Makkah Al Mukarramah Province,Jeddah,0.8596503543254446,0.8325547709638111,0.8461025626446279
A-105,5,Tabuk Province,Umluj,0.8022095199893033,0.7386133476577823,0.7704114338235428
A-106,4,Aseer Province,Riyadh,0.9192605963364087,0.930044144358962,0.9246523703476853
A-107,5,Riyadh Province,Riyadh,0.7148582698221688,0.5957550327586151,0.655306651290392
A-108,5,Riyadh Province,Riyadh,0.870517448856799,0.8503273246457728,0.8604223867512859
A-109,2,Makkah Al Mukarramah Province,Makkah,0.7663591389223158,0.6799819600322492,0.7231705494772824
A-11,6,Makkah Al Mukarramah Province,Makkah,0.7001203369434417,0.5716519292519106,0.6358861330976762
A-110,2,Al Jawf Province,Al Jawf,0.7999331461425324,0.7348904595484128,0.7674118028454726
A-111,0,The Eastern Province,Dammam,0.9087210857066453,0.9128073364164625,0.9107642110615539
A-112,4,The Eastern Province,Eastern Province,0.8120710210812497,0.7547413064972165,0.7834061637892331
A-113,0,The Eastern Province,Al Qatif,0.7804218478406205,0.7029807704637159,0.7417013091521683
A-114,5,Aseer Province,Abha,0.8926962160716674,0.8865995161575531,0.8896478661146102
A-115,5,Al Bahah Province,Al Bahah,0.8083600748763204,0.7486722518412641,0.7785161633587923
A-116,4,Makkah Al Mukarramah Province,Jeddah,0.8992813210322236,0.897369104920764,0.8983252129764938
A-117,7,Riyadh Province,Riyadh,0.8897646744217143,0.881805136569259,0.8857849054954866
A-118,1,Al Madinah Al Munawwarah Province,Madinah,0.8171914694477872,0.7631155275494037,0.7901534984985954
A-119,2,Tabuk Province,Tabuk,0.7497091857200161,0.6527518486388367,0.7012305171794264
A-12,6,Makkah Al Mukarramah Province,Makkah,0.6356331060302179,0.46618650014792784,0.5509098030890729
A-120,5,Tabuk Province,Tabuk,0.6501322751322751,0.48989911861304636,0.5700156968726607
A-121,0,The Eastern Province,Al Khobar,0.8740607033025806,0.8561221287310534,0.865091416016817
A-122,5,Al Bahah Province,Al Bahah,0.6405970049471855,0.47430469228069394,0.5574508486139398
A-123,2,Makkah Al Mukarramah Province,Asfan,0.7248696349779383,0.612128087198712,0.6684988610883251
A-124,6,Makkah Al Mukarramah Province,Makkah,0.7842598163747382,0.7092575639162099,0.746758690145474
A-125,2,Al Madinah Al Munawwarah Province,Al Ula,0.7555689263270491,0.6623351423860748,0.708952034356562
A-126,1,Makkah Al Mukarramah Province,Jeddah,0.8171580425190534,0.7630608593155739,0.7901094509173137
A-127,2,Tabuk Province,Tabuk,0.8108704372242279,0.7527778159474035,0.7818241265858157
A-13,6,Al Madinah Al Munawwarah Province,Madinah,0.6632599055132148,0.5113686584513575,0.5873142819822861
A-14,6,Al Madinah Al Munawwarah Province,Madinah,0.6013309488790837,0.4100871495879641,0.5057090492335239
A-15,6,Tabuk Province,Tabuk,0.8181006819093462,0.7646024958013921,0.791351588855369
A-16,6,Makkah Al Mukarramah Province,Makkah,0.8903763872175425,0.8828055602462261,0.8865909737318843
A-17,6,Al Madinah Al Munawwarah Province,Madinah,0.8329656371172617,0.7889133381046382,0.8109394876109499
A-18,5,Jazan Province,Jazan,0.8915678184631254,0.8847540821617773,0.8881609503124513
A-19,2,Al Madinah Al Munawwarah Province,Madinah,0.8204138253777243,0.7683855183939607,0.7943996718858426
A-2,6,Al Madinah Al Munawwarah Province,Madinah,0.6932410750100282,0.560401262983067,0.6268211689965476
A-20,5,Al Madinah Al Munawwarah Province,Madinah,0.6621414961893302,0.5095395592421763,0.5858405277157532
A-21,4,Riyadh Province,Riyadh,0.8791741877256318,0.8644849597136726,0.8718295737196522
A-22,0,Makkah Al Mukarramah Province,Jeddah,0.9377791148549272,0.9603301950171057,0.9490546549360164
A-23,6,Al Madinah Al Munawwarah Province,Madinah,0.5555889824842893,0.33527860195855586,0.4454337922214226
A-24,4,Makkah Al Mukarramah Province,Jeddah,0.8001938761866559,0.7353168696402348,0.7677553729134454
A-25,2,Al Madinah Al Munawwarah Province,Al Ula,0.7513370771493515,0.65541417858804,0.7033756278686958
A-26,5,Tabuk Province,Tabuk,0.7590503409546732,0.6680288101977694,0.7135395755762213
A-27,1,The Eastern Province,Dhahran,0.8834703837411418,0.8715111590623109,0.8774907714017264
