User ID,Preferred_Province,User_Segment,activity_level
USER-A1,2,1,1.0
USER-A10,2,1,1.0
USER-A100,2,1,2.0
USER-A1000,2,1,1.0
USER-A1001,2,1,1.0
USER-A1002,2,1,1.0
USER-A1003,2,1,1.0
USER-A1004,2,1,1.0
USER-A1005,2,1,1.0
USER-A1006,2,1,2.0
USER-A1007,2,1,1.0
USER-A1008,2,1,1.0
USER-A1009,2,1,1.0
USER-A101,2,1,1.0
USER-A1010,2,1,1.0
USER-A1011,2,1,1.0
USER-A1012,2,1,1.0
USER-A1013,2,1,1.0
USER-A1014,2,1,1.0
USER-A1015,2,1,1.0
USER-A1016,2,1,1.0
USER-A1017,6,1,1.0
USER-A1018,6,1,1.0
USER-A1019,6,1,1.0
USER-A102,5,1,1.0
USER-A1020,1,1,2.0
USER-A1021,6,1,1.0
USER-A1022,6,1,1.0
USER-A1023,6,1,2.0
USER-A1024,6,1,1.0
USER-A1025,6,1,1.0
USER-A1026,6,1,1.0
USER-A1027,6,1,1.0
USER-A1028,6,1,1.0
USER-A1029,6,1,1.0
USER-A103,5,1,1.0
USER-A1030,6,1,1.0
USER-A1031,6,1,1.0
USER-A1032,6,1,1.0
USER-A1033,6,1,1.0
USER-A1034,6,1,1.0
USER-A1035,6,1,1.0
USER-A1036,6,1,1.0
USER-A1037,6,1,1.0
USER-A1038,6,1,1.0
USER-A1039,6,1,1.0
USER-A104,2,0,7.0
USER-A1040,6,1,1.0
USER-A1041,6,1,1.0
USER-A1042,6,1,1.0
USER-A1043,6,1,1.0
USER-A1044,6,1,1.0
USER-A1045,6,1,1.0
USER-A1046,6,1,1.0
USER-A1047,6,1,1.0
USER-A1048,6,1,1.0
USER-A1049,6,1,1.0
USER-A105,5,1,1.0
USER-A1050,6,1,1.0
USER-A1051,6,1,1.0
USER-A1052,6,1,1.0
USER-A1053,6,1,1.0
USER-A1054,6,1,1.0
USER-A1055,6,1,1.0
USER-A106,3,1,2.0
USER-A1064,7,1,2.0
USER-A107,5,1,1.0
USER-A1071,3,1,1.0
USER-A1072,3,1,2.0
USER-A1073,3,1,2.0
USER-A1074,3,1,2.0
USER-A1075,3,1,1.0
USER-A1076,3,1,1.0
USER-A1077,3,1,1.0
USER-A1078,3,1,1.0
USER-A1079,3,1,1.0
USER-A108,5,1,1.0
USER-A1080,3,1,1.0
USER-A1081,3,1,1.0
USER-A1082,3,1,1.0
USER-A1083,6,1,2.0
USER-A1084,6,1,1.0
USER-A1085,6,1,1.0
USER-A1086,6,1,1.0
USER-A1087,6,1,1.0
USER-A1088,6,1,1.0
USER-A1089,6,1,1.0
USER-A109,2,1,2.0
USER-A1090,6,1,1.0
USER-A1091,6,1,1.0
USER-A1092,6,1,1.0
USER-A1093,6,1,1.0
USER-A1094,6,1,1.0
USER-A1095,6,1,1.0
USER-A1096,6,1,2.0
USER-A1097,6,1,1.0
USER-A1098,6,1,1.0
USER-A1099,6,1,2.0
USER-A11,2,1,2.0
USER-A110,5,1,1.0
USER-A1100,6,1,1.0
USER-A1101,6,1,1.0
USER-A1102,6,1,1.0
USER-A1103,6,1,1.0
USER-A1104,6,1,2.0
USER-A1105,6,1,1.0
USER-A1106,7,1,1.0
USER-A1107,7,1,1.0
USER-A1108,7,1,1.0
USER-A1109,7,1,2.0
USER-A111,5,1,1.0
USER-A1110,7,1,1.0
USER-A1111,7,1,1.0
USER-A1112,7,1,1.0
